#timestamp tx ty tz qx qy qz qw
1729604460.058180094 -0.746809781 -0.879887164 1.221241236 -0.047226235 0.888398051 0.075715676 0.450317413
1729604460.358772993 -0.738795280 -0.895241618 1.248977900 -0.042088185 0.905171037 0.086939201 0.413927048
1729604461.093088865 -0.631878495 -0.922322750 1.433444977 -0.030371642 0.915034056 0.115951374 0.385156602
1729604461.726883173 -0.434130669 -0.984029889 1.494004488 -0.070157990 0.911962628 0.110690020 0.388779819
1729604462.695451736 -0.284250021 -0.984152079 1.572447300 -0.054973323 0.919267535 0.128887042 0.367849529
1729604462.962128401 -0.201242805 -0.939513922 1.597987533 -0.043053538 0.917965829 0.143927842 0.367110193
1729604463.428441763 -0.049699306 -0.918111026 1.583626270 -0.064662091 0.919301569 0.144532427 0.360296994
1729604463.628266811 0.029866338 -0.923125863 1.548740983 -0.066188358 0.918776512 0.136502340 0.364466608
1729604464.195101738 0.113872051 -0.931472838 1.502963066 -0.030727237 0.917749524 0.093854159 0.384685665
1729604464.595395088 0.169116020 -0.878747463 1.522693634 -0.005243757 0.921684682 0.082658954 0.378995180
1729604465.895110130 0.188484430 -0.832948983 1.485499620 -0.047102477 0.933017254 0.105055094 0.340915859
1729604466.095287800 0.154844999 -0.826789260 1.439195633 -0.047816552 0.938725471 0.102367848 0.325620919
1729604466.395568609 0.094275475 -0.804359257 1.380926609 -0.051835574 0.946904659 0.108770862 0.298083246
1729604467.062499762 0.194836378 -0.758941770 1.339381456 -0.028744414 0.963886499 0.137447819 0.226284578
1729604467.595669985 0.376201034 -0.741517544 1.376425743 -0.005885941 0.971106648 0.131192937 0.199262664
1729604468.262171507 0.579239130 -0.759133518 1.263991356 -0.001122530 0.979356170 0.126022547 0.158045992
1729604468.861993551 0.703930020 -0.736684680 1.181122899 0.013750865 0.986399114 0.140020773 0.084981531
1729604469.461836576 0.879242241 -0.723898411 1.149074078 -0.022489961 -0.988638341 -0.148146108 0.011880660
1729604470.061672926 0.971715868 -0.683093190 1.051957965 -0.029706517 -0.984571815 -0.171797216 0.014888466
